epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4205.84,0.83754,0.4271,1.07595,0.99656,1,0.995,0.772,0.89797,0.37287,1.15994,0.0011486,0.0011486,0.0011486
45,4292.78,0.85597,0.44401,1.08848,0.99917,1,0.995,0.76729,0.92332,0.35997,1.18035,0.0011288,0.0011288,0.0011288
46,4381.86,0.82542,0.42769,1.07286,0.99917,1,0.995,0.74706,0.93404,0.36027,1.19586,0.001109,0.001109,0.001109
47,4470.63,0.83369,0.4278,1.07217,0.99919,1,0.995,0.78391,0.89931,0.33967,1.16115,0.0010892,0.0010892,0.0010892
48,4558.5,0.8154,0.41459,1.06616,0.99921,1,0.995,0.7562,0.93229,0.35821,1.21465,0.0010694,0.0010694,0.0010694
49,4646.87,0.79706,0.40465,1.07105,0.98704,1,0.995,0.74186,0.92703,0.40697,1.19787,0.0010496,0.0010496,0.0010496
50,4739.61,0.79595,0.41187,1.0708,0.99871,1,0.995,0.75125,0.89578,0.3429,1.19237,0.0010298,0.0010298,0.0010298
51,4828.7,0.81431,0.41423,1.06201,0.99904,1,0.995,0.77815,0.90699,0.34921,1.23733,0.00101,0.00101,0.00101
52,4917.23,0.78517,0.41206,1.06079,0.9992,1,0.995,0.76713,0.91889,0.35888,1.21499,0.0009902,0.0009902,0.0009902
53,5006.07,0.8025,0.40874,1.05656,0.99922,1,0.995,0.76771,0.93749,0.35715,1.21671,0.0009704,0.0009704,0.0009704
54,5095.15,0.79346,0.40423,1.05905,0.99708,1,0.995,0.76494,0.8889,0.34711,1.1793,0.0009506,0.0009506,0.0009506
55,5185.24,0.79203,0.40707,1.05297,0.9992,1,0.995,0.77084,0.92597,0.38648,1.20377,0.0009308,0.0009308,0.0009308
56,5272.4,0.75987,0.38853,1.0545,0.99913,1,0.995,0.76912,0.97263,0.36768,1.24685,0.000911,0.000911,0.000911
57,5360.61,0.78157,0.3877,1.05917,0.9992,1,0.995,0.75706,0.93634,0.37609,1.2476,0.0008912,0.0008912,0.0008912
58,5450.59,0.77057,0.39254,1.03712,0.99906,1,0.995,0.77032,0.91371,0.35436,1.1933,0.0008714,0.0008714,0.0008714
59,5539.53,0.75974,0.38883,1.04156,0.99914,1,0.995,0.76247,0.92543,0.35637,1.20908,0.0008516,0.0008516,0.0008516
60,5630.54,0.78127,0.38506,1.03566,0.99917,1,0.995,0.77146,0.90753,0.34371,1.19568,0.0008318,0.0008318,0.0008318
61,5721.7,0.76116,0.38985,1.04146,0.9992,1,0.995,0.77902,0.88241,0.33888,1.18734,0.000812,0.000812,0.000812
62,5811.81,0.75863,0.38162,1.03037,0.99921,1,0.995,0.75914,0.96352,0.36798,1.23766,0.0007922,0.0007922,0.0007922
